Selection Sort												
2^	N	Microseconds	 	 	 	 	 	 	 	 	 	 Average
8	256	644694	308819	96564	94698	94232	96098	95632	109626	96098	96098	173255
9	512	347071	347071	346138	345672	347071	344273	343806	346138	346605	342406	345625
10	1024	1297786	1304316	1304783	1295453	1297319	1297319	1298719	1301517	1299184	1299651	1299604
11	2048	5016673	5006876	5009209	5013873	5017139	5038131	5019005	5019938	5014807	5009209	5016486
12	4096	19658508	19647313	19662706	19627253	19634251	19635183	19621188	19646846	19634251	19616057	19638355
13	8192	77559697	77599349	77570893	77555498	77572759	77579290	77569027	77586288	77547569	77566694	77570706
14	16384	308326631	308266454	308215139	308266921	308384477	308350889	308252459	308358819	308234732	308315436	308297195
15	32768	1229086624	1229121611	1228765210	1228756347	1232951057	1230761336	1229265291	1229212111	1228895362	1229114147	1229592909
16	65536	4906353736	4906136350	4905183304	4904699550	4905641868	4906680282	4906599112	4906591182	4906162007	4906438638	4906048602
												
												
Insertion Sort												
2^	N	Microseconds	 	 	 	 	 	 	 	 	 	 Average
8	256	492617	372262	41984	41518	39652	41051	41051	41518	41517	44317	119748
9	512	154876	154409	158142	153010	154409	158141	152077	149278	162339	167471	156415
10	1024	607375	602243	623236	619504	589181	619504	623702	649359	600378	627434	616191
11	2048	2410839	2433697	2423434	2381916	2541924	2497140	2382850	2434630	2441628	2428566	2437662
12	4096	9557055	9671813	9573382	9592508	9878002	9736655	9553789	9836018	9630294	9642889	9667240
13	8192	38602348	38219823	38450737	38454003	38154980	38532374	38399423	38168042	38629871	38256210	38386781
14	16384	154928132	151927645	154800779	154210665	153927036	154073049	152051266	153969021	152540151	153121868	153554961
15	32768	616123793	613701757	612285950	614160321	610819760	608925329	610774044	611940744	612348460	614384704	612546486
16	65536	2446439534	2448933876	2457342890	2445210324	2452385928	2435897711	2436715474	2437000969	2438991030	2456446755	2445536449
												
												
Heap Sort												
2^	N	Microseconds	 	 	 	 	 	 	 	 	 	 Average
8	256	933454	93765	80703	80703	79770	80237	80237	79771	80703	79304	166864
9	512	134350	119889	121288	122221	122222	120355	121288	119889	122221	121289	122501
10	1024	263569	267301	262636	265435	266368	264036	265435	265902	265435	266834	265295
11	2048	578452	576586	575653	577053	581718	575187	580784	576120	577519	585916	578498
12	4096	1257666	1257200	1296386	1252535	1271662	1248804	1247404	1255801	1257667	1262798	1260792
13	8192	2726655	2726189	2729921	2723856	2730854	2702865	2704730	2710328	2714527	2704730	2717465
14	16384	5906742	5838168	5876887	5882485	5884351	5840967	5896013	5837701	5876887	5887616	5872781
15	32768	12656905	12620985	12815513	12733411	12691892	12677898	12710085	12657371	12648974	12602326	12681536
16	65536	27435890	27522658	27394372	27356586	27404168	27279615	27266086	27247427	27152728	27347723	27340725
												
												
Merge Sort												
2^	N	Microseconds	 	 	 	 	 	 	 	 	 	 Average
8	256	392321	225317	54113	48515	48982	50381	50848	48982	49915	49915	101928
9	512	109159	110559	106827	105427	104495	105894	105428	108227	107294	105894	106920
10	1024	227182	231380	227183	228115	238845	236046	226250	234647	242576	254706	234693
11	2048	2280221	415180	409581	407249	414246	417046	408648	408649	431041	414713	600657
12	4096	1924287	872810	876075	867212	1360296	874209	872809	865812	869544	1145709	1052876
13	8192	1859910	2189254	1860377	2166397	1962539	1867840	2202783	1854778	2145404	1852446	1996172
14	16384	4406499	4352852	4258154	4290809	4266084	4265618	4266550	4368246	4328128	4287076	4309001
15	32768	9195989	9178262	9133945	9154471	9256166	9195988	9174531	9312146	9237974	9231909	9207138
16	65536	19569874	19694428	19572207	19798922	19622121	19589467	20003713	25751848	19224202	19518560	20234534
												
												
Quick Sort												
2^	N	Microseconds	 	 	 	 	 	 	 	 	 	 Average
8	256	273365	47116	44317	45250	47583	45717	42451	59711	22858	22392	65076
9	512	48515	47582	47116	46650	45717	45716	46183	45717	46183	45717	46509
10	1024	101696	102628	99363	99363	97497	104494	99830	97964	100762	101229	100482
11	2048	216920	222984	213188	236979	214120	215987	217386	218319	223450	226250	220558
12	4096	480489	494017	484220	474891	485153	473025	462762	471158	470226	465560	476150
13	8192	1019755	1039814	1036549	1004361	1028151	1003428	1002028	1025819	1022088	1026286	1020827
14	16384	2189721	2195319	2148670	2227040	2181791	2220043	2177126	2180858	2191121	2202783	2191447
15	32768	4640212	4718583	4593562	4677532	4587965	4721848	4642078	4803952	4722781	4783426	4689193
16	65536	9949842	9921853	9923253	9781438	9852345	10013286	9877069	10012353	10000690	10008154	9934028
