Sequential Search
2^,N,Microseconds, , , , , , , , , , Sequential Search
8, 256, 10729, 6064, 6065, 6064, 6065, 6065, 11196, 6064, 6065, 6997, 7137
9, 512, 1866, 1399, 933, 1400, 1400, 1400, 1399, 933, 1400, 1399, 1352
10, 1024, 2332, 2333, 2333, 2333, 2333, 1866, 2333, 2332, 2332, 2332, 2285
11, 2048, 4665, 4665, 3732, 4198, 4199, 4199, 3732, 3732, 3732, 4199, 4105
12, 4096, 8397, 7930, 7930, 7930, 7930, 8396, 7930, 7931, 7930, 8397, 8070
13, 8192, 15394, 15395, 15394, 15395, 16327, 15394, 15395, 15394, 15395, 28922, 16840
14, 16384, 29856, 29855, 29855, 29856, 29855, 29856, 29855, 29855, 30322, 30322, 29948
15, 32768, 59711, 60178, 59711, 59711, 59711, 60178, 60178, 60178, 61111, 59711, 60037
16, 65536, 124554, 119423, 120822, 119422, 119423, 123621, 119422, 119889, 119423, 119422, 120542
17, 131072, 240244, 238845, 239312, 238845, 238845, 238845, 238845, 238845, 238844, 239311, 239078
18, 262144, 478623, 480021, 479089, 480955, 484687, 482354, 486086, 480022, 480022, 478156, 481001
19, 524288, 960510, 961909, 962843, 961444, 961443, 963776, 960977, 960044, 976372, 1020688, 969000
20, 1048576, 1956008, 1995660, 2018051, 2004989, 1949943, 1953209, 1970003, 1980265, 1970936, 1986330, 1978539
21, 2097152, 3993186, 3926944, 3926943, 3942804, 4061760, 4066425, 3949335, 3988521, 3940939, 3958665, 3975552
22, 4194304, 7850621, 7867415, 7900070, 7885608, 7883276, 7847822, 7846889, 7912665, 7857619, 7838493, 7869047
23, 8388608, 15684449, 15800606, 15682583, 15666722, 15717570, 15699844, 15691912, 16039450, 15683050, 15690980, 15735716
24, 16777216, 31990267, 31395954, 31317584, 31542899, 31329712, 31431407, 31304055, 31301256, 31392222, 31304522, 31430987


Sequential Search
2^,N,Microseconds, , , , , , , , , , Sequential Search
8, 256, 11196, 6531, 6064, 6064, 6065, 6531, 10729, 6064, 6064, 6998, 7230
9, 512, 1866, 1400, 1399, 933, 1399, 933, 933, 1399, 933, 933, 1212
10, 1024, 2332, 2333, 2333, 2332, 2333, 2332, 2332, 2332, 2332, 1866, 2285
11, 2048, 4198, 3732, 3732, 4198, 3732, 4199, 4198, 4198, 4199, 4198, 4058
12, 4096, 7930, 7930, 7931, 7464, 7931, 7930, 7930, 7930, 7931, 7464, 7837
13, 8192, 15861, 15394, 15395, 15394, 15395, 16794, 14928, 15394, 15394, 27989, 16793
14, 16384, 29855, 29856, 30322, 31721, 29855, 29855, 29856, 29855, 29856, 32655, 30368
15, 32768, 60177, 59711, 59711, 59711, 60177, 59711, 60178, 59711, 59711, 61578, 60037
16, 65536, 119889, 121289, 121289, 119889, 120822, 119889, 119423, 119422, 120822, 119422, 120215
17, 131072, 239311, 239311, 238844, 238845, 238844, 239312, 239311, 238845, 240244, 243043, 239591
18, 262144, 478156, 481422, 479556, 483287, 485153, 481888, 478156, 478156, 478156, 480488, 480441
19, 524288, 962843, 965642, 964709, 961443, 959577, 960510, 960044, 961443, 968907, 972639, 963775
20, 1048576, 1985397, 2031580, 2017118, 2018984, 1982597, 1982131, 1973268, 1957407, 1965337, 1956007, 1986982
21, 2097152, 3998317, 3971727, 3937672, 3935807, 3951201, 4008114, 3927876, 3941404, 3966595, 3954467, 3959318
22, 4194304, 7859951, 7835694, 8114190, 7991502, 7891673, 7886075, 7857619, 7854819, 7857618, 7886074, 7903521
23, 8388608, 15739495, 15928891, 15701709, 15686781, 15725034, 15701709, 15697044, 15954548, 15823930, 15675119, 15763426
24, 16777216, 31757954, 31335310, 31327379, 31874577, 31408084, 31342307, 31345106, 31311053, 31381493, 31427675, 31451093


Binary Search
2^,N,Microseconds, , , , , , , , , , Binary Search
8, 256, 5597, 933, 933, 466, 933, 933, 933, 933, 467, 1400, 1352
9, 512, 1399, 933, 933, 933, 933, 933, 933, 467, 933, 933, 933
10, 1024, 1400, 933, 933, 933, 933, 933, 1399, 933, 933, 1400, 1073
11, 2048, 933, 933, 933, 933, 933, 933, 933, 933, 933, 933, 933
12, 4096, 1399, 933, 933, 933, 1399, 933, 933, 1400, 933, 933, 1072
13, 8192, 1399, 1400, 933, 1399, 1399, 933, 1400, 933, 1866, 933, 1259
14, 16384, 17260, 1400, 1400, 933, 933, 933, 933, 933, 933, 1400, 2705
15, 32768, 1399, 1400, 1399, 1399, 1866, 1399, 1399, 1399, 1399, 1400, 1445
16, 65536, 1866, 933, 1400, 1399, 933, 2333, 933, 1866, 933, 933, 1352
17, 131072, 1399, 2332, 1399, 1866, 1866, 2333, 1865, 1400, 2333, 2799, 1959
18, 262144, 2333, 3732, 2799, 2799, 2333, 3266, 2332, 3732, 14928, 6531, 4478
19, 524288, 1400, 933, 466, 467, 933, 933, 467, 466, 933, 933, 793
20, 1048576, 1399, 1866, 1399, 3265, 1866, 1400, 1400, 1866, 1399, 1400, 1726
21, 2097152, 1866, 1866, 1866, 1866, 1866, 1399, 1866, 1866, 1866, 1866, 1819
22, 4194304, 1866, 1866, 2332, 1866, 1866, 2332, 1866, 1866, 1866, 1399, 1912
23, 8388608, 2332, 2333, 2333, 2332, 1866, 2799, 1866, 1866, 1866, 1866, 2145
24, 16777216, 2332, 1866, 2799, 2332, 2333, 2332, 1866, 2332, 2332, 2333, 2285


Selection Sort
2^,N,Microseconds, , , , , , , , , , Selection Sort
8, 256, 644694, 307886, 82569, 97964, 82570, 82103, 82103, 82103, 82103, 81636, 162573
9, 512, 318149, 313484, 313017, 314416, 312551, 312550, 313950, 313018, 313017, 314416, 313856
10, 1024, 1224546, 1224079, 1225479, 1225478, 1229677, 1225012, 1231077, 1240407, 1252535, 1225946, 1230423
11, 2048, 4847802, 4946232, 4869261, 4856199, 4848268, 4852001, 4858531, 4839405, 4846402, 4858065, 4862216
12, 4096, 19447186, 19432259, 19317967, 19279716, 19342692, 19395872, 19286246, 19253125, 19258257, 19275051, 19328837
13, 8192, 76815174, 76870220, 77137054, 76791383, 77052619, 76836166, 76844562, 76977980, 76975647, 76894011, 76919481
14, 16384, 307165062, 306947209, 306904758, 307143603, 306913622, 306995725, 306632793, 306683641, 306627661, 306864174, 306887824
15, 32768, 1226303523, 1227179132, 1225729736, 1225986774, 1226820865, 1225496023, 1226106196, 1225822568, 1225979310, 1229935176, 1226535930
16, 65536, 4904594589, 4904511554, 4907533965, 4906577187, 4911136229, 4906104163, 4911772993, 4919586295, 4916262528, 4904103838, 4909218334


Insertion Sort
2^,N,Microseconds, , , , , , , , , , Insertion Sort
8, 256, 761317, 411914, 79304, 80704, 78838, 78371, 78371, 78837, 78371, 78371, 180439
9, 512, 306486, 306020, 306953, 306486, 306486, 306953, 306020, 306020, 307419, 306020, 306486
10, 1024, 1212884, 1212884, 1210550, 1213350, 1210551, 1214283, 1211017, 1211017, 1211017, 1211484, 1211903
11, 2048, 4814214, 4815614, 4815614, 4824011, 4811415, 4816080, 4814681, 4811415, 4818879, 4813281, 4815520
12, 4096, 19188749, 19407535, 19240996, 19257323, 19953332, 19234932, 19449986, 19190615, 19187350, 19187816, 19329863
13, 8192, 76665429, 76670560, 76661697, 76748465, 76668694, 76649568, 76814707, 76956988, 76646303, 76663097, 76714550
14, 16384, 306389283, 306596873, 308606527, 306337036, 306341701, 306367825, 306357096, 306646788, 306875836, 306877703, 306739666
15, 32768, 1225486693, 1225654631, 1226860983, 1227609705, 1226903434, 1227917124, 1228235740, 1226345974, 1225657896, 1225917733, 1226658991
16, 65536, 4919157121, 4923817392, 4931603637, 4992593014, 4916481779, 4906448901, 4925071794, 4921902902, 4974291536, 4910110876, 4932147895


Merge Sort
2^,N,Microseconds, , , , , , , , , , Merge Sort
8, 256, 388589, 90500, 46183, 43384, 43850, 43384, 41984, 80237, 19127, 15861, 81309
9, 512, 35920, 34521, 34054, 34521, 34054, 33587, 34987, 34054, 36386, 35454, 34753
10, 1024, 75572, 75106, 74172, 74639, 74639, 76038, 74639, 75105, 74172, 75106, 74918
11, 2048, 158608, 167937, 181933, 177734, 175868, 167005, 175401, 159541, 158141, 159074, 168124
12, 4096, 348004, 359200, 346138, 353136, 342873, 364798, 343805, 347072, 343806, 345205, 349403
13, 8192, 722132, 735660, 726330, 731929, 725397, 731462, 725864, 723998, 725397, 731929, 728009
14, 16384, 1580947, 1580013, 1574882, 1586545, 3536022, 1552024, 1530099, 1566952, 1531965, 1545960, 1758540
15, 32768, 3221139, 3255192, 3368084, 3328898, 3267788, 4504929, 3285515, 3238399, 3249595, 3218806, 3393834
16, 65536, 7179803, 7666356, 6989474, 6967549, 7019796, 7405119, 6967549, 6940025, 7042654, 7418181, 7159650
17, 131072, 14575127, 14605449, 14615245, 14549003, 14641836, 14415586, 14592853, 14605915, 14763124, 14559732, 14592387
18, 262144, 31016228, 31083870, 31827461, 31041419, 31103463, 31024625, 31003633, 31141249, 31090867, 31026025, 31135884
19, 524288, 64364459, 64614966, 64464754, 64094826, 64308945, 64108820, 64363059, 64112085, 64279556, 64378453, 64308992
20, 1048576, 143052137, 147975045, 147883612, 148393489, 148194763, 148524574, 147825766, 147697015, 147483827, 147762323, 147479255


Merge Sort
2^,N,Microseconds, , , , , , , , , , Merge Sort
8, 256, 393720, 72773, 46183, 47582, 43851, 41518, 41052, 77904, 17261, 15861, 79770
9, 512, 35453, 34054, 34521, 37786, 34054, 34521, 34987, 34054, 34521, 35453, 34940
10, 1024, 75105, 74639, 74172, 82569, 74639, 75105, 76038, 74173, 82103, 78838, 76738
11, 2048, 165605, 164672, 162340, 163739, 160474, 159541, 163739, 157675, 164206, 161873, 162386
12, 4096, 351269, 353135, 343806, 352202, 343340, 357801, 365731, 348937, 344738, 342873, 350383
13, 8192, 731928, 726330, 730995, 726797, 737993, 727264, 730062, 729596, 730995, 736127, 730808
14, 16384, 1588411, 1579080, 1572084, 1568351, 3580805, 1549226, 1531965, 1575349, 1541762, 1549226, 1763625
15, 32768, 3223937, 3265922, 3229069, 3256125, 3228603, 4451282, 3248662, 3216007, 3257525, 3218340, 3359547
16, 65536, 7274502, 7788111, 6963817, 6958219, 6912036, 7462965, 6962418, 6892910, 6982477, 7442440, 7163989
17, 131072, 14721140, 14739333, 14694082, 14656297, 14667959, 14611047, 14776652, 14660029, 14676356, 14658629, 14686152
18, 262144, 31404818, 32006128, 31445869, 31380093, 31389890, 31501382, 31327847, 31392689, 31555961, 31431874, 31483655
19, 524288, 65213944, 65087057, 65179889, 64763311, 64329471, 64129812, 64179261, 64246436, 64168531, 64561785, 64585949
20, 1048576, 143636654, 149282626, 148523175, 148137384, 148406551, 148387425, 148345907, 148702308, 148403285, 148326780, 148015209
21, 2097152, 294677028, 302026168, 307242501, 302514121, 303921999, 303553469, 303021666, 303388796, 303135490, 302397963, 302587920
22, 4194304, 616177906, 633512808, 637139331, 633217985, 638559337, 634722894, 632760355, 634172431, 637391237, 633163405, 633081768
23, 8388608, 1279241220, 1272687917, 1271831902, 1275011989, 1273087236, 1272118329, 1273796773, 1273848087, 1272762556, 1271584193, 1273597020


Merge In Place Sort
2^,N,Microseconds, , , , , , , , , , Merge In Place Sort
8, 256, 477223, 83036, 81170, 80703, 80237, 83969, 84902, 81170, 80703, 82569, 121568
9, 512, 233713, 229515, 221585, 222051, 227182, 229048, 221585, 221585, 222984, 229048, 225829
10, 1024, 830359, 822428, 820096, 853217, 822428, 817297, 819163, 852750, 820096, 819629, 827746
11, 2048, 3112912, 3124574, 3129705, 3127840, 3115244, 3257525, 3114311, 3119910, 3111512, 3257992, 3147152
12, 4096, 12093847, 12164755, 12082185, 12086850, 12125569, 12094780, 12094314, 12091515, 12128367, 12085917, 12104809
13, 8192, 47493250, 47491850, 47601476, 47543631, 47524971, 47455463, 47582350, 47458263, 47494650, 47438670, 47508457
14, 16384, 188207788, 188007195, 187903633, 187978739, 188554392, 188025855, 188052912, 187975473, 188066906, 187926492, 188069938
15, 32768, 747857394, 748071049, 754288476, 747483734, 747717913, 748081778, 747911508, 748486228, 748314558, 747874655, 748608729
16, 65536, 2983753426, 2988026042, 2984454100, 2985905362, 2984586584, 2984126155, 2989779591, 3227170734, 2993650555, 2990389765, 3011184231


Quick Sort
2^,N,Microseconds, , , , , , , , , , Quick Sort
8, 256, 290159, 45717, 46649, 44783, 47583, 45250, 45250, 63443, 23325, 22858, 67501
9, 512, 49448, 47582, 47582, 47116, 48515, 48516, 48049, 48049, 47116, 47116, 47908
10, 1024, 104494, 104494, 104028, 103561, 107760, 105428, 103096, 103095, 102629, 105427, 104401
11, 2048, 226716, 225316, 228582, 223917, 224384, 227182, 223916, 234646, 223917, 228116, 226669
12, 4096, 493550, 501481, 500548, 483287, 494017, 487486, 497282, 497749, 504746, 495416, 495556
13, 8192, 1062206, 1053343, 1072935, 1075734, 1061739, 1088330, 1066871, 1060806, 1055208, 1070137, 1066730
14, 16384, 2277888, 2273690, 2263894, 2286285, 2279288, 2267626, 2254564, 2265293, 2253631, 2290484, 2271264
15, 32768, 4907513, 4926639, 4958361, 4918709, 4905181, 4784358, 4860863, 4992881, 4900515, 4874858, 4902987
16, 65536, 10621127, 10529694, 10467650, 10342631, 10346363, 9962438, 9894796, 9925119, 9996492, 9882201, 10196851
17, 131072, 21233390, 21351880, 21455908, 21311295, 21725075, 21002477, 21319225, 21043061, 20933902, 21137293, 21251350
18, 262144, 44527750, 45240085, 44677028, 45853058, 44761463, 45031563, 44713881, 45153318, 45277405, 45012903, 45024845
19, 524288, 93899569, 95341501, 95419872, 95389083, 94208855, 95383953, 94760716, 94299355, 94460761, 94861946, 94802561
20, 1048576, 203155176, 199264620, 198208012, 198855504, 202663492, 200277843, 202360271, 199844471, 204624632, 200546544, 200980056


Binary Search
2^,N,Microseconds, , , , , , , , , , Binary Search
8, 256, 6064, 933, 933, 933, 933, 467, 933, 933, 933, 933, 1399
9, 512, 1400, 933, 933, 933, 933, 933, 933, 933, 933, 933, 979
10, 1024, 1400, 933, 933, 933, 933, 933, 933, 933, 933, 933, 979
11, 2048, 1399, 933, 933, 932, 933, 933, 2332, 933, 933, 1399, 1166
12, 4096, 1866, 933, 1400, 1400, 1399, 1399, 1400, 933, 1400, 933, 1306
13, 8192, 1400, 1399, 2333, 2332, 2333, 1399, 1866, 1400, 1399, 933, 1679
14, 16384, 1866, 1400, 1400, 19593, 1866, 1866, 1399, 1399, 1399, 1399, 3358
15, 32768, 1866, 1400, 1400, 1399, 2333, 1866, 1400, 933, 1399, 1400, 1539
16, 65536, 1400, 933, 933, 1399, 1399, 2799, 1399, 1400, 933, 1399, 1399
17, 131072, 2332, 2799, 1866, 1400, 1399, 3265, 1400, 1399, 1399, 2799, 2005
18, 262144, 2332, 2333, 2333, 2333, 1866, 4198, 1866, 2799, 14462, 6064, 4058
19, 524288, 467, 467, 466, 466, 933, 933, 467, 466, 933, 466, 606
20, 1048576, 1399, 1400, 1399, 933, 2332, 1399, 1399, 1399, 1400, 1866, 1492
21, 2097152, 1400, 1866, 1866, 1866, 1866, 1866, 1866, 1866, 1399, 1866, 1772
22, 4194304, 2333, 2332, 2333, 1866, 1866, 1866, 2332, 1866, 1866, 3732, 2239
23, 8388608, 2333, 1866, 2332, 2333, 2332, 3265, 2799, 1866, 2799, 2333, 2425
24, 16777216, 2798, 2799, 2333, 2333, 2333, 2799, 2799, 2332, 2332, 2332, 2519


Sequential Search
2^,N,Microseconds, , , , , , , , , , Sequential Search
8, 256, 5598, 467, 466, 466, 466, 467, 467, 466, 933, 466, 1026
9, 512, 933, 466, 466, 466, 466, 466, 466, 933, 466, 466, 559
10, 1024, 466, 467, 466, 933, 466, 467, 467, 466, 933, 466, 559
11, 2048, 933, 466, 467, 466, 467, 466, 466, 467, 466, 467, 513
12, 4096, 933, 933, 467, 933, 467, 933, 933, 933, 933, 933, 839
13, 8192, 467, 467, 932, 933, 466, 933, 466, 933, 466, 933, 699
14, 16384, 933, 466, 933, 17727, 933, 467, 933, 466, 933, 0, 2379


Sequential Search
2^,N,Microseconds, , , , , , , , , , Sequential Search
8, 256, 5132, 933, 933, 467, 467, 466, 933, 466, 466, 466, 1072
9, 512, 933, 933, 933, 466, 467, 467, 467, 467, 466, 467, 606
10, 1024, 933, 467, 467, 467, 466, 467, 467, 467, 466, 933, 560
11, 2048, 466, 467, 466, 466, 933, 466, 933, 467, 467, 467, 559
12, 4096, 466, 933, 467, 466, 933, 933, 467, 466, 933, 467, 653
13, 8192, 933, 933, 932, 933, 933, 933, 467, 933, 466, 933, 839
14, 16384, 933, 933, 933, 19126, 933, 933, 933, 467, 933, 933, 2705
15, 32768, 1399, 933, 1399, 933, 1399, 1400, 933, 466, 467, 466, 979
16, 65536, 933, 467, 467, 933, 0, 1866, 467, 933, 466, 466, 699


Binary Search
