Dijkster's vs A-Star Corner to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 608311, 110093, 100297, 91433, 88634, 87235, 90500, 87701, 88635, 87234, 144007
A-Star    , 10, 100, 139949, 40119, 17260, 23791, 30789, 18660, 15394, 19126, 15394, 14928, 33541
Dijkstra's, 11, 121, 121289, 108693, 110560, 111026, 112426, 111026, 104495, 105428, 123622, 107761, 111632
A-Star    , 11, 121, 19593, 16328, 14461, 31255, 16793, 21459, 15394, 15394, 13528, 13528, 17773
Dijkstra's, 12, 144, 153010, 153477, 149278, 153943, 147879, 148812, 147879, 151611, 148812, 148812, 150351
A-Star    , 12, 144, 18660, 18193, 17727, 25657, 20992, 19593, 20059, 24725, 17260, 20992, 20385
Dijkstra's, 13, 169, 204791, 205259, 201993, 205258, 203858, 246776, 205725, 201527, 206658, 209457, 209130
A-Star    , 13, 169, 24258, 20526, 21926, 25657, 20059, 27523, 21925, 30322, 20992, 26124, 23931
Dijkstra's, 14, 196, 272434, 271501, 275233, 271034, 273366, 273366, 272434, 271501, 274766, 271967, 272760
A-Star    , 14, 196, 29856, 28923, 28923, 26590, 29389, 24725, 26123, 25657, 27057, 25657, 27290
Dijkstra's, 15, 225, 362001, 364333, 374129, 369464, 364333, 388124, 367599, 368998, 372263, 356403, 368764
A-Star    , 15, 225, 29390, 42918, 33121, 38252, 33121, 28922, 31722, 29389, 33588, 41984, 34240
Dijkstra's, 16, 256, 483289, 478159, 479091, 477225, 478158, 483289, 480957, 475360, 482823, 481890, 480024
A-Star    , 16, 256, 41984, 37319, 37786, 51314, 45716, 37320, 47583, 36853, 41052, 45717, 42264
Dijkstra's, 17, 289, 614841, 614375, 621839, 652161, 660092, 614375, 620906, 618107, 620440, 617640, 625477
A-Star    , 17, 289, 41518, 41519, 41052, 42451, 59712, 46183, 54114, 58778, 46183, 51315, 48282
Dijkstra's, 18, 324, 776249, 772983, 828030, 779515, 779048, 786512, 777648, 777182, 775316, 768319, 782080
A-Star    , 18, 324, 52714, 51781, 51781, 57379, 55979, 51315, 59245, 54580, 55979, 51781, 54253
Dijkstra's, 19, 361, 980107, 957716, 1008564, 963780, 962847, 1962548, 961915, 1031889, 967046, 973111, 1076952
A-Star    , 19, 361, 63910, 69042, 74173, 69975, 73240, 59712, 56446, 55980, 57379, 56913, 63677
Dijkstra's, 20, 400, 1244145, 1967679, 1197961, 1204959, 1208690, 1198428, 1197495, 1218021, 1185832, 1280997, 1290420
A-Star    , 20, 400, 80237, 83036, 90034, 81170, 77438, 107761, 66242, 65776, 69974, 74173, 79584
Dijkstra's, 21, 441, 1438673, 1447070, 1448003, 1444271, 1473194, 1438206, 1460599, 1730699, 1448003, 1472261, 1480097
A-Star    , 21, 441, 96099, 74639, 89567, 97032, 84903, 86302, 101696, 77905, 73240, 72307, 85369
Dijkstra's, 22, 484, 1859452, 1822132, 1821666, 2027858, 1897705, 1979342, 1812336, 2296092, 1974210, 1821199, 1931199
A-Star    , 22, 484, 108227, 102162, 107294, 102629, 111026, 94232, 114757, 122222, 107760, 94699, 106500
Dijkstra's, 23, 529, 3065810, 3214156, 3152579, 2911401, 2932393, 2933325, 2778449, 3143715, 3000034, 2893207, 3002506
A-Star    , 23, 529, 152544, 146480, 161874, 141815, 146013, 155343, 134818, 150212, 158608, 177735, 152544
Dijkstra's, 24, 576, 5210758, 5263005, 4682219, 5121191, 5175305, 5027892, 4794177, 5179036, 4729335, 5104397, 5028731
A-Star    , 24, 576, 223452, 283163, 254707, 239312, 260771, 306487, 217387, 222985, 214121, 283163, 250554
Dijkstra's, 25, 625, 6578524, 6447439, 6256642, 6409186, 6505284, 6633104, 6477761, 6518346, 6463300, 6417116, 6470670
A-Star    , 25, 625, 312086, 236047, 231849, 297158, 245377, 252840, 250041, 279898, 283629, 333078, 272200
Dijkstra's, 26, 676, 7944890, 7994339, 7947689, 7912235, 7933228, 8032125, 7873516, 8228986, 8155746, 7935560, 7995831
A-Star    , 26, 676, 320016, 320016, 355937, 313952, 300423, 344274, 349405, 338210, 317217, 339142, 329859
Dijkstra's, 27, 729, 9640136, 9809008, 9697049, 9760025, 9709644, 9676056, 9798278, 9634072, 9648999, 9608881, 9698214
A-Star    , 27, 729, 343807, 444570, 377862, 395589, 390457, 396987, 402120, 380194, 343341, 339143, 381407
Dijkstra's, 28, 784, 11578426, 11655865, 11691784, 11605483, 11692251, 11712776, 11531776, 11584491, 11546238, 11613880, 11621297
A-Star    , 28, 784, 458565, 466962, 412382, 445970, 442704, 417047, 437573, 425911, 504748, 473494, 448535
Dijkstra's, 29, 841, 13755562, 13722441, 13879650, 13712644, 13681855, 13860057, 13717309, 13734570, 13938895, 13668327, 13767131
A-Star    , 29, 841, 464630, 495885, 562594, 571924, 496818, 492153, 572857, 593382, 453900, 556063, 526020
