Dijkster's vs A-Star Center to Corner
,j,j^2,Microseconds, , , , , , , , , , Average
Dijkstra's, 10, 100, 627904, 607378, 133418, 103096, 102629, 102162, 91899, 90500, 88635, 88634, 203625
A-Star    , 10, 100, 98897, 82570, 111493, 40585, 18194, 17727, 15861, 13995, 14461, 14928, 42871
Dijkstra's, 11, 121, 118956, 121289, 121755, 111492, 111026, 107760, 109627, 111026, 111959, 429176, 145406
A-Star    , 11, 121, 17727, 16794, 16794, 15394, 13528, 13995, 13528, 13062, 13995, 29856, 16467
Dijkstra's, 12, 144, 155343, 151611, 153944, 154410, 150212, 149745, 151611, 153010, 148812, 148813, 151751
A-Star    , 12, 144, 18660, 17727, 17727, 17727, 17261, 16794, 16793, 16794, 16794, 16793, 17307
Dijkstra's, 13, 169, 209924, 207591, 204792, 218320, 210857, 202926, 211323, 207590, 206191, 208057, 208757
A-Star    , 13, 169, 20059, 19593, 19593, 22392, 20059, 19126, 19593, 19593, 19126, 19593, 19872
Dijkstra's, 14, 196, 361068, 277565, 286895, 279897, 273366, 279431, 278964, 277565, 277098, 278498, 287034
A-Star    , 14, 196, 26123, 25657, 25657, 25191, 25191, 25191, 24724, 25191, 25191, 24724, 25284
Dijkstra's, 15, 225, 376462, 367132, 367599, 368531, 364334, 373663, 364334, 374596, 368998, 401653, 372730
A-Star    , 15, 225, 29389, 28922, 28922, 28457, 28456, 28923, 28456, 28923, 28923, 29390, 28876
Dijkstra's, 16, 256, 501483, 507081, 502882, 504748, 503349, 506148, 496818, 491687, 490754, 493086, 499803
A-Star    , 16, 256, 38719, 37786, 36854, 37320, 36853, 36853, 36387, 35921, 35920, 35920, 36853
Dijkstra's, 17, 289, 637699, 636766, 637233, 626970, 632569, 675486, 631635, 629303, 631635, 665690, 640498
A-Star    , 17, 289, 41052, 41518, 46649, 40585, 40118, 41518, 41518, 41051, 40119, 41052, 41518
Dijkstra's, 18, 324, 805639, 797708, 796308, 793043, 795375, 798640, 794908, 799573, 812635, 803305, 799713
A-Star    , 18, 324, 52714, 51315, 51315, 50848, 50848, 50848, 50848, 50848, 52248, 52248, 51408
Dijkstra's, 19, 361, 994102, 1032822, 992237, 1000633, 2065177, 995036, 1000633, 987105, 990838, 987105, 1104568
A-Star    , 19, 361, 58312, 57379, 56912, 56913, 65776, 55979, 56446, 55979, 56446, 55980, 57612
